question,answer,rewritten_query,gen_enhanced_k5_persona_mpnet,ctx_count_used,contexts
Was Lee Kuan Yew a successful leader of Singapore?,yes,Was Lee Kuan Yew a successful leader of Singapore?,remained prime minister,5,"{'passage': ""Singapore became a self-governing state in 1959 with Yusof bin Ishak its first Yang di-Pertuan Negara and Lee Kuan Yew its first Prime Minister. Following the 1962 Merger Referendum of Singapore, Singapore joined Malaya, along with Sabah and Sarawak, to form the Federation of Malaysia on September 16 1963, but separated from it two years later after heated ideological conflict between the state's PAP government and the federal Kuala Lumpur government. Singapore officially gained sovereignty on 9 August 1965.    Yusof bin Ishak was sworn in as the first President of Singapore and Lee Kuan Yew remained prime minister."", 'id': 2714}
---
{'passage': 'In 2004, Lee Hsien Loong, the eldest son of Lee Kuan Yew, became the third prime minister.    Amongst his more notable decisions is the plan to open casinos to attract more foreign tourists.', 'id': 2717}
---
{'passage': ""The fledgling nation had to be self-sufficient, and faced problems like mass unemployment, housing shortages, and a dearth of land and natural resources. During Lee Kuan Yew's term as prime minister from 1959 to 1990, his administration attacked widespread unemployment, raised the standard of living, and implemented a large-scale public housing programme. The country's economic infrastructure was developed, the threat of racial tension was curbed, and an independent national defence system, centring around compulsory male military service, was created."", 'id': 2715}
---
{'passage': 'In 1990, Goh Chok Tong succeeded Lee as Prime Minister. During his tenure, the country tackled the impacts of the 1997 Asian financial crisis, the 2003 SARS outbreak, and terrorist threats posed by the Jemaah Islamiyah group after the September 11 attacks.', 'id': 2716}
---
{'passage': ""In 2001, a global recession and slump in the technology sector caused the GDP to contract by 2.2 percent. The Economic Review Committee (ERC), set up in December 2001, recommended several policy changes with a view to revitalising the economy. Singapore has since recovered from the recession, largely due to improvements in the world economy; the Singaporean economy itself grew by 8.3 percent in 2004, 6.4 percent in 2005    and 7.9 percent in 2006.    In the first half of Year 2007, the economy grew by 7.6 percent. The growth forecast for the whole year is expected to be between 7 percent to 8 percent, up from the original estimation of 5 percent to 7 percent.     On August 19 2007, Prime Minister Lee Hsien Loong announced in his National Day Rally Speech that Singapore's economy is expected to grow by at least 4-6 percent annually over the next 5-10 years."", 'id': 2739}"
Does Indonesia have the world's hightest level of biodiversity?,no,Does Indonesia have the world's highest level of biodiversity?,second highest level of biodiversity,5,"{'passage': ""Indonesia's size, tropical climate, and archipelagic geography, support the world's second highest level of biodiversity (after Brazil),    and its flora and fauna is a mixture of Asian and Australasian species.    Once linked to the Asian mainland, the islands of the Sunda Shelf (Sumatra, Borneo, Java, Borneo, and Bali) have a wealth of Asian fauna. Large species such as the tiger, rhinoceros, orangutan, elephant, and leopard, were once abundant as far east as Bali, but numbers and distribution have dwindled drastically."", 'id': 802}
---
{'passage': ""Indonesia's 80,000 kilometers (50,000 mi) of coastline are surrounded by tropical seas that contribute to the country's high level of biodiversity. Indonesia has a range of sea and coastal ecosystems, including beaches, sand dunes, estuaries, mangroves, coral reefs, sea grass beds, coastal mudflats, tidal flats, algal beds, and small island ecosystems."", 'id': 804}
---
{'passage': 'Across its many islands, Indonesia consists of distinct ethnic, linguistic, and religious groups. The Javanese are the largest and politically dominant ethnic group. As a unitary state and a nation, Indonesia has developed a shared identity defined by a national language, a majority Muslim population, and a history of colonialism and rebellion against it. Indonesia\'s national motto, ""Bhinneka tunggal ika"" (""Unity in Diversity"" lit. ""many, yet one""), articulates the diversity that shapes the country. However, sectarian tensions and separatism have led to violent confrontations that have undermined political and economic stability. Despite its large population and densely populated regions, Indonesia has vast areas of wilderness that support the world\'s second highest level of biodiversity. The country is richly endowed with natural resources, yet poverty is a defining feature of contemporary Indonesia.', 'id': 753}
---
{'passage': ""Indonesia's high population and rapid industrialization present serious environmental issues, which are often given a lower priority due to high poverty levels and weak, under-resourced governance.    Issues include large-scale deforestation (much of it illegal) and related wildfires causing heavy smog over parts of western Indonesia, Malaysia and Singapore; over-exploitation of marine resources; and environmental problems associated with rapid urbanization and economic development, including air pollution, traffic congestion, garbage management, and reliable water and waste water services.  Habitat destruction threatens the survival of indigenous and endemic species, including 140 species of mammals identified by the World Conservation Union (IUCN) as threatened, and 15 identified as critically endangered, including the Sumatran Orangutan."", 'id': 806}
---
{'passage': ""At 1,919,440 square kilometers (741,050 sq mi), Indonesia is the world's 16th-largest country in terms of land area.    Its average population density is 134 people per square kilometer (347 per sq mi), 79th in the world,    although Java, the world's most populous island,    has a population density of 940 people per square kilometer (2,435 per sq mi). At 4,884 meters (16,024 ft), Puncak Jaya in Papua is Indonesia's highest peak, and Lake Toba in Sumatra its largest lake, with an area of 1,145 square kilometers (442 sq mi). The country's largest rivers are in Kalimantan, and include the Mahakam and Barito; such rivers are communication and transport links between the island's river settlements."", 'id': 797}"
Is the main sport in Uruguay football ?,Yes,Is Uruguay football the main sport in Uruguay ?,The main sport in Uruguay is football.,5,"{'passage': ""The main sport in Uruguay is football. The Uruguay national football team is one of only five nations to win the FIFA World Cup on two or more occasions. In 1930, Uruguay hosted the first ever World Cup and went on to win the competition, defeating Argentina 4-2 in the final. Uruguay won the 1950 FIFA World Cup as well, famously defeating the favored hosts, Brazil, 2-1 in the final. Uruguay is by far the smallest country, population wise, to win a World Cup. Out of the World Cup winners, the nation with the second smallest population is Argentina (winners of the 1978 and 1986 editions) who currently have just over 40,000,000 people according to the latest estimate; the 2002 census has Uruguay's current population slightly under 3,400,000. The Uruguay national team has also won the Copa AmÃ©rica 14 different times, a record it shares with Argentina."", 'id': 69}
---
{'passage': 'Basketball, rugby union, and tennis are other popular sports in Uruguay.', 'id': 70}
---
{'passage': 'Uruguay (official full name in  ; pron.  , Eastern Republic of  Uruguay) is a country located in the southeastern part of South America.  It is home to 3.3 million people, of which 1.7 million live in the capital Montevideo and its metropolitan area.', 'id': 0}
---
{'passage': 'Montevideo was founded by the Spanish in the early 18th century as a military stronghold. Uruguay won its independence in 1828 following a three-way struggle between Spain, Argentina and Brazil. It is a constitutional democracy, where the president fulfills the roles of both head of state and head of government', 'id': 2}
---
{'passage': ""Uruguay's capital, Montevideo, was founded by the Spanish in the early 18th century as a military stronghold; its natural harbor soon developed into a commercial center competing with Argentina's capital, Buenos Aires. Uruguay's early 19th century history was shaped by ongoing conflicts between the British, Spanish, Portuguese, and colonial forces for dominance in the Argentina-Brazil-Uruguay region.  /ref> In 1806 and 1807, the British army attempted to seize Buenos Aires as part of their war with Spain. As a result, at the beginning of 1807, Montevideo was occupied by a 10,000-strong British force who held it until the middle of the year when they left to attack Buenos Aires."", 'id': 15}"
Was Wilson awarded the 1919 Nobel Peace Prize?,Yes,Was Wilson awarded the 1919 Nobel Peace Prize?,Wilson was awarded the 1919 Nobel Peace Prize.,5,"{'passage': ""For his peacemaking efforts, Wilson was awarded the 1919 Nobel Peace Prize. However, Wilson failed to win Senate support for ratification and the United States never joined the League. Republicans under Henry Cabot Lodge controlled the Senate after the 1918 elections, but Wilson refused to give them a voice at Paris and refused to agree to Lodge's proposed changes.  The key point of disagreement was whether the League would diminish the power of Congress to declare war. Historians generally have come to regard Wilson's failure to win U.S. entry into the League as perhaps the biggest mistake of his administration, and even as one of the largest failures of any American presidency.  /ref>"", 'id': 2198}
---
{'passage': 'Wilson Returning From the Versailles Peace Conference 1919.', 'id': 2195}
---
{'passage': 'Roosevelt gained international praise for helping negotiate the end of the Russo-Japanese War, for which he was awarded the Nobel Peace Prize. Roosevelt later arbitrated a dispute between France and Germany over the division of Morocco. Some historians have argued these latter two actions helped in a small way to avert a world war. The Rector and Visitors of the University of Virginia (2005).  ""Theodore Roosevelt (1901â\x80\x931909)"". Retrieved March 6 2006.', 'id': 2941}
---
{'passage': 'In the late stages of the war he took personal control of negotiations with Germany, especially with the Fourteen Points and the Armistice. He went to Paris in 1919 to create the League of Nations and shape the Treaty of Versailles, with special attention on creating new nations out of defunct empires. Wilson collapsed with a debilitating stroke in 1919, as the home front saw massive strikes and race riots, and wartime prosperity turn into postwar depression. He refused to compromise with the Republicans who controlled Congress after 1918, effectively destroying any chance for ratification of the Treaty of Versailles. The League of Nations went into operation anyway, but the U.S. never joined. Wilson\'s idealistic internationalism, whereby the U.S. enters the world arena to fight for democracy, progressiveness, and liberalism, has been a highly controversial position in American foreign policy, serving as a model for ""idealists"" to emulate or ""realists"" to reject for the following century.', 'id': 2131}
---
{'passage': ""Roosevelt negotiated for the U.S. to take control of the Panama Canal and its construction in 1904; he felt the Canal's completion was his most important and historically significant international achievement. He was the first American to be awarded the Nobel Prize, winning its Peace Prize in 1906, for negotiating the peace in the Russo-Japanese War."", 'id': 2881}"
What is the life expectancy for men in Finland?,75 years,What is the life expectancy for men in Finland?,75 years,5,"{'passage': 'The life expectancy is 82 years for women and 75 years for men.', 'id': 1623}
---
{'passage': ""The Finnish Defence Forces is a cadre army of 16,500, of which 8,700 are professional soldiers (officers), with a standard readiness strength of 34,700 people in uniform (27,300 Army, 3,000 Navy, and 4,400 Air Force). Finland's defence budget equals about 1.4 percent of the GDP. A universal male conscription is in place, under which all men above 18 years of age serve for six, nine or twelve months. Inhabitants of Finland's Ã\x85land Islands and Jehovah's Witnesses are exempt, but there are no other general exemptions. Non-military service for thirteen months is also possible. Since 1995, Finnish women have been able to do military service as volunteers. The defence is based on a large trained reserve. During the Cold War, Finland could have mobilised 490,000 reservists in a conflict, but this number has since been reduced to some 350,000 due to ongoing budget cuts."", 'id': 1645}
---
{'passage': 'Finnish family life is centered on the nuclear family. Relations with the extended family are often rather distant, and Finnish people do not form politically significant clans, tribes or similar structures. According to UNICEF, Finland ranks fourth in child well-being.', 'id': 1617}
---
{'passage': ""Liechtensteiners have an average life expectancy at birth of 79.68 years (76.1 years for males; 83.28 years for females). The infant mortality rate is 4.64 deaths per 1,000 live births, according to recent estimates. An estimated 100 percent of the population, age 10 and older, can read and write.  The Programme for International Student Assessment, coordinated by the OECD, currently ranks Liechtenstein's education as the 10th best in the world, being significantly higher than the OECD average."", 'id': 2854}
---
{'passage': 'After having one of the highest death rates from heart disease in the world in the 1970s, improvements in the Finnish diet and exercise have paid off. Finland also boasts the lowest smoking rate of any country in the European Union. Finland is now one of the fittest countries in the world.', 'id': 1622}"
Is Qatar bordered by Saudi Arabia to the south?,Yes,Is Qatar bordered by Saudi Arabia to the south?,Yes.,5,"{'passage': 'In terms of English phonemics, the vowels sound halfway between short u   and broad a  . The q and the t have no direct counterparts, but are closest to the unaspirated allophones of English k and t. However, since these allophones cannot occur in these positions in English, in this context they will sound more like English g and d. So the closest pronunciation, according to English phonemics, to the original Arabic might be   or  . ), officially the State of Qatar (Arabic:  Ø¯Ù\x88Ù\x84Ø© Ù\x82Ø·Ø±   transliterated as Dawlat Qatar), is an Arab emirate in Southwest Asia, occupying the small Qatar Peninsula on the northeasterly coast of the larger Arabian Peninsula. It is bordered by Saudi Arabia to the south; otherwise the Persian Gulf surrounds the state.', 'id': 2538}
---
{'passage': 'The Qatari peninsula juts 100 miles  (160 km) into the Persian Gulf from Saudi Arabia and is slightly smaller than Connecticut. Much of the country consists of a low, barren plain, covered with sand. To the southeast lies the spectacular Khor al Adaid (""Inland Sea""), an area of rolling sand dunes surrounding an inlet of the Gulf. There are mild winters and very hot, humid summers.', 'id': 2572}
---
{'passage': ""The highest point in Qatar occurs in the Jebel Dukhan to the west, a range of low limestone outcrops running north-south from Zikrit through Umm Bab to the southern border, and reaching about 295 feet (90 m) ASL. This area also contains Qatar's main onshore oil deposits, while the natural gas fields lie offshore, to the northwest of the peninsula."", 'id': 2573}
---
{'passage': ""Qatar's national income primarily derives from oil and natural gas exports. The country has oil estimated at 15 billion barrels (2.4 kmÂ³), while gas reserves in the giant north field (South Pars for Iran) which straddles the border with Iran and are almost as large as the peninsula itself are estimated to be between 800â\x80\x93900tcf (Trillion Cubic Feet - 1tcf is equal to around 80 million barrels of oil equivalent). Qataris' wealth and standard of living compare well with those of Western European states; Qatar has one of the highest GDP per capita in the Arab World.  With no income tax, Qatar is also one of the two least-taxed sovereign states in the world (the other is Bahrain)."", 'id': 2565}
---
{'passage': 'Although the peninsular land mass that makes up Qatar has sustained humans for thousands of years, for the bulk of its history the arid climate fostered only short-term settlements by nomadic tribes. Clans such as the Al Khalifa and the Al Saud (which would later ascend thrones of Bahrain and Saudi Arabia respectively) swept through the Arabian peninsula and camped on the coasts within small fishing and pearling villages.', 'id': 2542}"
Is Pencak Silat an Indonesian martial art ?,yes,Is Pencak Silat an Indonesian martial art ?,Pencak Silat is an Indonesian martial art.,5,"{'passage': ""Indonesia has around 300 ethnic groups, each with cultural differences developed over centuries, and influenced by Arabic, Chinese, Malay, and European sources. Traditional Javanese and Balinese dances, for example, contain aspects of Hindu culture and mythology, as do wayang kulit (shadow puppet) performances. Textiles such as batik, ikat and songket are created across Indonesia in styles that vary by region. The most dominant influences on Indonesian architecture have traditionally been Indian; however, Chinese, Arab, and European architectural influences have been significant. The most popular sports in Indonesia are badminton and football; Liga Indonesia is the country's premier football club league. Traditional sports include sepak takraw, and bull racing in Madura. In areas with a history of tribal warfare, mock fighting contests are held, such as, caci in Flores, and pasola in Sumba. Pencak Silat is an Indonesian martial art. Sports in Indonesia are generally male-orientated and spectator sports are often associated with illegal gambling."", 'id': 822}
---
{'passage': ""The oldest evidence of writing in Indonesia is a series of Sanskrit inscriptions dated to the 5th century CE. Important figures in modern Indonesian literature include: Dutch author Multatuli, who criticized treatment of the Indonesians under Dutch colonial rule; Sumatrans Muhammad Yamin and Hamka, who were influential pre-independence nationalist writers and politicians; Taylor (2003), pages 299â\x80\x93301  and proletarian writer Pramoedya Ananta Toer, Indonesia's most famous novelist. Vickers (2005) pages 3 to 7; Friend (2003), pages 74, 180  Many of Indonesia's peoples have strongly-rooted oral traditions, which help to define and preserve their cultural identities.    Media freedom in Indonesia increased considerably after the end of President Suharto's rule, during which the now-defunct Ministry of Information monitored and controlled domestic media, and restricted foreign media.    The TV market includes ten national commercial networks, and provincial networks that compete with public TVRI. Private radio stations carry their own news bulletins and foreign broadcasters supply programs. At a reported 18 million users in 2005,    Internet usage is limited to a minority of the population."", 'id': 825}
---
{'passage': ""Although religious freedom is stipulated in the Indonesian constitution,    the government officially recognizes only six religions: Islam; Protestantism; Roman Catholicism; Hinduism; Buddhism; and Confucianism.    Although it is not an Islamic state, Indonesia is the world's most populous Muslim-majority nation, with almost 86% of Indonesians declared Muslim according to the 2000 census.    11% of the population is Christian, of which roughly two-thirds are Protestant  2% are Hindu, and 1% Buddhist. Most Indonesian Hindus are Balinese,    and most Buddhists in modern-day Indonesia are ethnic Chinese.    Though now minority religions, Hinduism and Buddhism remain defining influences in Indonesian culture. Islam was first adopted by Indonesians in northern Sumatra in the 13th century, through the influence of traders, and became the country's dominant religion by the 16th century.    Roman Catholicism was brought to Indonesia by early Portuguese colonialists and missionaries, Ricklefs (1991), pp. 25, 26, 28 ;    and the Protestant denominations are largely a result of Dutch Calvinist and Lutheran missionary efforts during the country's colonial period. Ricklefs (1991), pp.28, 62; Vickers (2005), p.22;    A large proportion of Indonesians such as the Javanese abangan, Balinese Hindus, and Dayak Christians practice a less orthodox, syncretic form of their religion, which draws on local customs and beliefs. Magnis-Suseno, F. 1981, Javanese Ethics and World-View: The Javanese Idea of the Good Life, PT Gramedia Pustaka Utama, Jakarta, 1997, pp.15-18, ISBN 979-605-406-X;"", 'id': 820}
---
{'passage': ""Most Indonesians are descendant from Austronesian-speaking peoples, who originated from Taiwan. The other major grouping are Melanesians, who inhabit eastern Indonesia. Taylor (2003), pages 5â\x80\x937,  ;    There are around 300 distinct native ethnicities in Indonesia, and 742 different languages and dialects.  ;    The largest is the Javanese, who comprise 42% of the population, and are politically and culturally dominant.    The Sundanese, ethnic Malays, and Madurese are the largest non-Javanese groups. Small but significant populations of ethnic Chinese, Indians, Europeans and Arabs are concentrated mostly in urban areas.  A sense of Indonesian nationhood exists alongside strongly maintained regional identities. Ricklefs (1991), page 256  Society is largely harmonious, although social, religious and ethnic tensions have triggered horrendous violence.  Domestic migration (including the official Transmigrasi program) are a cause of violence such as the massacre of hundreds of Madurese by a local Dayak community in West Kalimantan, and conflicts in Maluku, Central Sulawesi, and parts of Papua and West Papua  ;  ;  ; Kyoto University: Sulawesi Kaken Team & Center for Southeast Asian Studies    Chinese Indonesians are an influential ethnic minority comprising less than 2% of the population. Much of the country's privately-owned commerce and wealth is Chinese-controlled, Schwarz (1994), pages 53, 80â\x80\x9381; Friend (2003), pages 85â\x80\x9387, 164â\x80\x93165, 233â\x80\x93237  which has contributed to considerable resentment, and even anti-Chinese violence.  ;   The riots in Jakarta in 1998 much of which were aimed at the Chinese were, in part, expressions of this resentment. ;"", 'id': 817}
---
{'passage': ""Indonesian cuisine varies by region and is based on Chinese, European, Middle Eastern, and Indian precedents.    Rice is the main staple food and is served with side dishes of meat and vegetables. Spices (notably chili), coconut milk, fish and chicken are fundamental ingredients. Compared to the infused flavors of Vietnamese and Thai food, flavors in Indonesia are kept relatively separate, simple and substantial.   Indonesian traditional music includes gamelan and keroncong. Dangdut is a popular contemporary genre of pop music that draws influence from Arabic, Indian, and Malay folk music. The Indonesian film industry's popularity peaked in the 1980s and dominated cinemas in Indonesia,    although it declined significantly in the early 1990s.      Between 2000 and 2005, the number of Indonesian films released each year has steadily increased."", 'id': 824}"
Has another US President been an Eagle Scout?,no,Has another US President been an Eagle Scout?,He is the only US president who was an Eagle Scout.,5,"{'passage': ""Ford joined the Boy Scouts of America, and attained that program's highest rank, Eagle Scout. He always regarded this as one of his proudest accomplishments, even after attaining the White House.     In subsequent years, Ford received the Distinguished Eagle Scout Award in May 1970 and Silver Buffalo Award from the Boy Scouts of America. He is the only US president who was an Eagle Scout.    Scouting was so important to Ford that his family asked that Scouts participate in his funeral. About 400 Eagle Scouts were part of the funeral procession, where they formed an honor guard as the casket went by in front of the museum, and served as ushers."", 'id': 2001}
---
{'passage': 'Eagle Scout Gerald Ford (circled in red) in 1929.', 'id': 2000}
---
{'passage': 'Despite his debilitating diseases, Roosevelt remained active to the end of his life. He was an enthusiastic proponent of the Scouting movement. The Boy Scouts of America gave him the title of Chief Scout Citizen, the only person to hold such title. One early Scout leader said, ""The two things that gave Scouting great impetus and made it very popular were the uniform and Teddy Roosevelt\'s jingoism."" Larson, Keith (2006).  ""Theodore Roosevelt"". Retrieved March 6 2006.', 'id': 3001}
---
{'passage': 'Ford was a member of several civic organizations, including the Benevolent and Protective Order of Elks, American Legion, Veterans of Foreign Wars, and AMVETS.Gerald R. Ford was initiated into Freemasonry on September 30, 1949.  The Supreme Council, Ancient and Accepted Scottish Rite, Southern Jurisdiction, USA.  He later said in 1975,  ""When I took my obligation as a master mason â\x80\x94 incidentally, with my three younger brothers â\x80\x94 I recalled the value my own father attached to that order. But I had no idea that I would ever be added to the company of the Father of our Country and 12 other members of the order who also served as Presidents of the United States.""', 'id': 2020}
---
{'passage': ""#In 2001, he became the first and only President up to date to receive a Medal of Honor, making him the only person to date to win the world's highest peace honor, as well as his nation's top military honor. "", 'id': 2967}"
Did Fillmore run for President a second time?,Yes,Did Fillmore run for President a second time?,he again failed to win election as President as the Know Nothing Party and Whig candidate.,5,"{'passage': ""Millard Fillmore (January 7, 1800   March 8, 1874) was the thirteenth President of the United States, serving from 1850 until 1853, and the last member of the Whig Party to hold that office. He was the second Vice President to assume the Presidency upon the death of a sitting President, succeeding Zachary Taylor who died of acute gastroenteritis. Fillmore was never elected President; after serving out Taylor's term, he failed to gain the nomination for the Presidency of the Whigs in the 1852 presidential election, and, four years later, in the 1856 presidential election, he again failed to win election as President as the Know Nothing Party and Whig candidate."", 'id': 148}
---
{'passage': ""He ran in the election of 1856 as the party's candidate, attempting to win a non-consecutive second term as President (a feat accomplished only once in American politics, by Grover Cleveland).  His running mate was Andrew Jackson Donelson, nephew of former president Andrew Jackson. Fillmore and Donelson finished third, carrying only the state of Maryland and its eight electoral votes; but he won 21.6% of the popular vote, one of the best showings ever by a Presidential third-party candidate."", 'id': 184}
---
{'passage': ""Theodore Roosevelt was the fifth Vice President to succeed to the office of President, but the first to win election in his own right.  (Millard Fillmore ran and lost on a third-party ticket four years after leaving office and Chester Arthur was denied nomination by his party in 1884).  After Senator Mark Hanna, McKinley's old campaign manager, died in February 1904, there was no one in the Republican Party to oppose Roosevelt and he easily won the nomination.  When an effort to draft former president Grover Cleveland failed, the Democrats were without a candidate and finally settled on obscure New York judge Alton B. Parker.  The outcome was never in doubt.  Roosevelt crushed Parker 56%-38% in the popular vote and 336-140 in the Electoral College, sweeping the country outside the perennially Democratic Solid South.  Socialist Eugene Debs got 3%.  The night of the election, after his victory was clear, Roosevelt promised not to run again in 1908.  He later regretted that promise, as it compelled him to leave the White House at the age of only fifty, at the height of his popularity."", 'id': 2932}
---
{'passage': 'At the Whig national convention in 1848, the nomination of Gen. Zachary Taylor for president angered the supporters of Henry Clay as well as the opponents of slavery extension into the territory gained by the U.S.-Mexican War. A group of practical Whig politicians nominated Fillmore for vice president, believing that he would heal party wounds and help the ticket carry New York state.', 'id': 156}
---
{'passage': ""After leaving Congress, Fillmore was the unsuccessful Whig candidate for Governor of New York in 1844. He served as New York State Comptroller from 1847 to 1849. As state comptroller, he revised New York's banking system, making it a model for the future National Banking System."", 'id': 155}"
Can beetles be found in almost all habitats?,Yes.,Can beetles be found in almost all habitats?,Yes.,5,"{'passage': 'Beetles can be found in almost all habitats, but are not known to occur in the sea or in the polar regions. They interact with their ecosystems in several ways. They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates. Some species are prey of various animals including birds and mammals. Certain species are agricultural pests, such as the Colorado potato beetle Leptinotarsa decemlineata, the boll weevil Anthonomus grandis, the red flour beetle Tribolium castaneum, and the mungbean or cowpea beetle Callosobruchus maculatus, while other species of beetles are important controls of agricultural pests. For example, coccinellidae (""ladybirds"" or ""ladybugs"") consume aphids, scale insects, thrips, and other plant-sucking insects that damage crops.', 'id': 2378}
---
{'passage': 'Besides being abundant and varied, the Coleoptera are able to exploit the wide diversity of food sources available in their many habitats. Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet. Many species of leaf beetles, longhorn beetles, and weevils are very host specific, feeding on only a single species of plant. Ground beetles and rove beetles (family Staphylinidae), among others, are primarily carnivorous and will catch and consume many other arthropods and small prey such as earthworms and snails. While most predatory beetles are generalists, a few species have more specific prey requirements or preferences.', 'id': 2412}
---
{'passage': 'Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in the animal kingdom, constituting about twenty-five percent of all known life-forms. James K. Liebherr and Joseph V. McHugh in Resh, V. H. & R. T. CardÃ© (Editors) 2003. Encyclopedia of Insects. Academic Press.  Forty percent of all described insect species are beetles (about 350,000 species ), and new species are frequently discovered. Estimates put the total number of species, described and undescribed, at between 5 and 8 million.', 'id': 2377}
---
{'passage': '* Ground beetles (family Carabidae) are common predators of many different insects and other arthropods, including fly eggs, caterpillars, wireworms and others.', 'id': 2432}
---
{'passage': 'Beetle larvae can be differentiated from other insect larvae by their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body. Like adult beetles, the larvae are varied in appearance, particularly between beetle families. Beetles whose larvae are somewhat flattened and are highly mobile are the ground beetles, some rove beetles, and others; their larvae are described as campodeiform. Some beetle larvae resemble hardened worms with dark head capsules and minute legs. These are elateriform larvae, and are found in the click beetle (Elateridae) and darkling beetle (Tenebrionidae) families. Some elateriform larvae of click beetles are known as wireworms. Beetles in the families of the Scarabaeoidea have short, thick larvae described as scarabaeiform, but more commonly known as grubs.', 'id': 2397}"
Did Ulysses win the Battle of Champion Hill?,Yes,Did Ulysses win the Battle of Champion Hill?,No.,5,"{'passage': 'Knowing that the Confederates could no longer send reinforcements to the Vicksburg garrison, Grant turned west and won the Battle of Champion Hill. The Confederates retreated inside their fortifications at Vicksburg, and Grant promptly surrounded the city. Finding that assaults against the impregnable breastworks were futile, he settled in for a six-week siege. Cut off and with no possibility of relief, Pemberton surrendered to Grant on July 4, 1863. It was a devastating defeat for the Southern cause, effectively splitting the Confederacy in two, and, in conjunction with the Union victory at Gettysburg the previous day, is widely considered the turning point of the war. For this victory, President Lincoln promoted Grant to the rank of major general in the regular army, effective July 4.', 'id': 1793}
---
{'passage': 'After the Union victory at Gettysburg, Meade\'s failure to pursue Lee and months of inactivity for the Army of the Potomac persuaded Lincoln to bring in a western general, Ulysses S. Grant. Grant already had a solid string of victories in the Western Theater, including the battles of Vicksburg and Chattanooga. Responding to criticism of Grant, Lincoln was quoted as saying, ""I cannot spare this man. He fights."" Grant waged his bloody Overland Campaign in 1864 with a strategy of a war of attrition, characterized by high Union losses at battles such as the Wilderness and Cold Harbor, but by proportionately higher Confederate losses. His invasion campaign eventually bottled Lee up in the Siege of Petersburg, so that Grant could take Richmond, and bring the war to a close in the spring of 1865.', 'id': 348}
---
{'passage': 'The campaign continued, but Lee, anticipating Grant\'s move, beat him to Spotsylvania, Virginia, where, on May 8, the fighting resumed. The Battle of Spotsylvania Court House lasted 14 days. On May 11, Grant wrote a famous dispatch containing the line ""I propose to fight it out along this line if it takes all summer"". These words summed up his attitude about the fighting, and the next day, May 12, he ordered a massive assault by Hancock\'s 2nd Corps that broke a portion of Lee\'s line, captured 30 artillery pieces, took 4,000 prisoners, and broke forever the famous Stonewall Division. In spite of mounting Union casualties, the contest\'s dynamics changed in Grant\'s favor. Most of Lee\'s great victories in earlier years had been won on the offensive, employing surprise movements and fierce assaults. Now, he was forced to continually fight on the defensive without a chance to regroup or replenish against an opponent that was well supplied and had superior numbers. The next major battle, however, demonstrated the power of a well-prepared defense. Cold Harbor was one of Grant\'s most controversial battles, in which he launched on June 3 a massive three-corps assault without adequate reconnaissance on a well-fortified defensive line, resulting in horrific casualties (3,000 7,000 killed, wounded, and missing in the first 40 minutes, although modern estimates have determined that the total was likely less than half of the famous figure of 7,000 that has been used in books for decades; as many as 12,000 for the day, far outnumbering the Confederate losses). Grant said of the battle in his memoirs ""I have always regretted that the last assault at Cold Harbor was ever made. I might say the same thing of the assault of the 22nd of May, 1863, at Vicksburg. At Cold Harbor no advantage whatever was gained to compensate for the heavy loss we sustained."" But Grant moved on and kept up the pressure. He stole a march on Lee, slipping his troops across the James River.', 'id': 1803}
---
{'passage': ""The Battle of the Wilderness was a stubborn, bloody two-day fight, resulting in advantage to neither side, but with heavy casualties on both. After similar battles in Virginia against Lee, all of Grant's predecessors had retreated from the field. Grant ignored the setback and ordered an advance around Lee's flank to the southeast, which lifted the morale of his army. Grant's strategy was not just to win individual battles, it was to fight constant battles in order to wear down and destroy Lee's army."", 'id': 1800}
---
{'passage': 'In early April 1862, Grant was surprised by Generals Albert Sidney Johnston and P.G.T. Beauregard at the Battle of Shiloh. The sheer violence of the Confederate attack sent the Union forces reeling. Nevertheless, Grant refused to retreat. With grim determination, he stabilized his line. Then, on the second day, with the help of timely reinforcements, Grant counterattacked and turned a serious reverse into a victory.', 'id': 1788}"
